Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,AL,Etowah County,1055,120,"1,135"
9/30/2020,2/1/2020,9/26/2020,AL,Pike County,1109,14,200
9/30/2020,2/1/2020,9/26/2020,AL,Shelby County,1117,69,963
9/30/2020,2/1/2020,9/26/2020,AR,Chicot County,5017,11,73
9/30/2020,2/1/2020,9/26/2020,AR,White County,5145,25,607
9/30/2020,2/1/2020,9/26/2020,AZ,Navajo County,4017,58,718
9/30/2020,2/1/2020,9/26/2020,CA,Stanislaus County,6099,434,"3,799"
9/30/2020,2/1/2020,9/26/2020,CO,Denver County,8031,321,"3,792"
9/30/2020,2/1/2020,9/26/2020,DC,District of Columbia,11001,756,"4,805"
9/30/2020,2/1/2020,9/26/2020,FL,Brevard County,12009,318,"5,357"
9/30/2020,2/1/2020,9/26/2020,FL,Highlands County,12055,89,"1,275"
9/30/2020,2/1/2020,9/26/2020,FL,Marion County,12083,246,"3,776"
9/30/2020,2/1/2020,9/26/2020,FL,Osceola County,12097,191,"1,843"
9/30/2020,2/1/2020,9/26/2020,FL,Pinellas County,12103,727,"9,248"
9/30/2020,2/1/2020,9/26/2020,FL,Santa Rosa County,12113,40,837
9/30/2020,2/1/2020,9/26/2020,FL,Walton County,12131,30,443
9/30/2020,2/1/2020,9/26/2020,GA,Berrien County,13019,10,107
9/30/2020,2/1/2020,9/26/2020,GA,Cobb County,13067,406,"3,808"
9/30/2020,2/1/2020,9/26/2020,GA,Grady County,13131,16,133
9/30/2020,2/1/2020,9/26/2020,GA,Jefferson County,13163,11,112
9/30/2020,2/1/2020,9/26/2020,GA,Lamar County,13171,13,101
9/30/2020,2/1/2020,9/26/2020,GA,Oconee County,13219,15,245
9/30/2020,2/1/2020,9/26/2020,GA,Paulding County,13223,32,546
9/30/2020,2/1/2020,9/26/2020,GA,Thomas County,13275,95,528
9/30/2020,2/1/2020,9/26/2020,GA,Ware County,13299,69,455
9/30/2020,2/1/2020,9/26/2020,HI,Honolulu County,15003,114,"5,458"
9/30/2020,2/1/2020,9/26/2020,IA,Jasper County,19099,23,204
9/30/2020,2/1/2020,9/26/2020,IA,Story County,19169,26,426
9/30/2020,2/1/2020,9/26/2020,IA,Winnebago County,19189,11,68
9/30/2020,2/1/2020,9/26/2020,ID,Shoshone County,16079,13,82
