"Notes"	"2013 CBSA"	"2013 CBSA Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Akron, OH"	"10420"	121130	12625850	959.4	954.0	964.8	2.8
	"Albany-Schenectady-Troy, NY"	"10580"	137110	15466849	886.5	881.8	891.2	2.4
	"Albuquerque, NM"	"10740"	113952	15049954	757.2	752.8	761.6	2.2
	"Allentown-Bethlehem-Easton, PA-NJ"	"10900"	137072	14352019	955.1	950.0	960.1	2.6
	"Amarillo, TX"	"11100"	38896	4424674	879.1	870.3	887.8	4.5
	"Anchorage, AK"	"11260"	32073	6547472	489.9	484.5	495.2	2.7
	"Ann Arbor, MI"	"11460"	35526	6179200	574.9	569.0	580.9	3.1
	"Asheville, NC"	"11700"	80549	7379094	1091.6	1084.0	1099.1	3.8
	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	553024	90449335	611.4	609.8	613.0	0.8
	"Atlantic City-Hammonton, NJ"	"12100"	46971	4830144	972.5	963.7	981.2	4.5
	"Augusta-Richmond County, GA-SC"	"12260"	88091	9876079	892.0	886.1	897.9	3.0
	"Austin-Round Rock, TX"	"12420"	140876	28983975	486.0	483.5	488.6	1.3
	"Bakersfield, CA"	"12540"	96029	14181056	677.2	672.9	681.4	2.2
	"Baltimore-Columbia-Towson, MD"	"12580"	423506	48206323	878.5	875.9	881.2	1.3
	"Baton Rouge, LA"	"12940"	111703	13890020	804.2	799.5	808.9	2.4
	"Beaumont-Port Arthur, TX"	"13140"	73561	7225487	1018.1	1010.7	1025.4	3.8
	"Birmingham-Hoover, AL"	"13820"	201111	19871028	1012.1	1007.7	1016.5	2.3
	"Boise City, ID"	"14260"	68419	10427242	656.2	651.2	661.1	2.5
	"Boston-Cambridge-Newton, MA-NH"	"14460"	633583	81601562	776.4	774.5	778.3	1.0
	"Boulder, CO"	"14500"	27757	5340377	519.8	513.6	525.9	3.1
	"Bremerton-Silverdale, WA"	"14740"	34356	4433423	774.9	766.7	783.1	4.2
	"Bridgeport-Stamford-Norwalk, CT"	"14860"	120837	16394845	737.0	732.9	741.2	2.1
	"Brownsville-Harlingen, TX"	"15180"	40348	6929145	582.3	576.6	588.0	2.9
	"Buffalo-Cheektowaga-Niagara Falls, NY"	"15380"	216712	20634485	1050.2	1045.8	1054.7	2.3
	"Canton-Massillon, OH"	"15940"	76362	7287867	1047.8	1040.4	1055.2	3.8
	"Cape Coral-Fort Myers, FL"	"15980"	105786	10452739	1012.0	1005.9	1018.1	3.1
	"Cedar Rapids, IA"	"16300"	36041	4545321	792.9	784.7	801.1	4.2
	"Charleston-North Charleston, SC"	"16700"	86318	11505391	750.2	745.2	755.2	2.6
	"Charlotte-Concord-Gastonia, NC-SC"	"16740"	280761	37458020	749.5	746.8	752.3	1.4
	"Chattanooga, TN-GA"	"16860"	92771	9249007	1003.0	996.6	1009.5	3.3
	"Chicago-Naperville-Elgin, IL-IN-WI"	"16980"	1241838	168325749	737.8	736.5	739.1	0.7
	"Cincinnati, OH-KY-IN"	"17140"	325002	37467088	867.4	864.5	870.4	1.5
	"Clarksville, TN-KY"	"17300"	31529	4479204	703.9	696.1	711.7	4.0
	"Cleveland-Elyria, OH"	"17460"	380090	37752896	1006.8	1003.6	1010.0	1.6
	"Colorado Springs, CO"	"17820"	66500	11137645	597.1	592.5	601.6	2.3
	"Columbia, SC"	"17900"	106435	13175878	807.8	802.9	812.7	2.5
	"Columbus, GA-AL"	"17980"	48966	5297158	924.4	916.2	932.6	4.2
	"Columbus, OH"	"18140"	252105	33290879	757.3	754.3	760.2	1.5
	"Corpus Christi, TX"	"18580"	62658	7636005	820.6	814.1	827.0	3.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	656496	110544476	593.9	592.4	595.3	0.7
	"Davenport-Moline-Rock Island, IA-IL"	"19340"	64383	6800374	946.8	939.4	954.1	3.7
	"Dayton, OH"	"19380"	141854	14447964	981.8	976.7	986.9	2.6
	"Deltona-Daytona Beach-Ormond Beach, FL"	"19660"	127679	10239302	1247.0	1240.1	1253.8	3.5
	"Denver-Aurora-Lakewood, CO"	"19740"	268985	44331118	606.8	604.5	609.1	1.2
	"Des Moines-West Des Moines, IA"	"19780"	72034	9881430	729.0	723.7	734.3	2.7
	"Detroit-Warren-Dearborn, MI"	"19820"	710170	78654041	902.9	900.8	905.0	1.1
	"Duluth, MN-WI"	"20260"	52061	5004136	1040.4	1031.4	1049.3	4.6
	"Durham-Chapel Hill, NC"	"20500"	62043	8748691	709.2	703.6	714.7	2.8
	"El Paso, TX"	"21340"	82003	13798307	594.3	590.2	598.4	2.1
	"Erie, PA"	"21500"	49754	5031304	988.9	980.2	997.6	4.4
	"Eugene, OR"	"21660"	56158	6186619	907.7	900.2	915.2	3.8
	"Evansville, IN-KY"	"21780"	55183	5525055	998.8	990.4	1007.1	4.3
	"Fayetteville, NC"	"22180"	44150	6426652	687.0	680.6	693.4	3.3
	"Fayetteville-Springdale-Rogers, AR-MO"	"22220"	56470	7810873	723.0	717.0	728.9	3.0
	"Flint, MI"	"22420"	74033	7729286	957.8	950.9	964.7	3.5
	"Fort Collins, CO"	"22660"	31415	5225574	601.2	594.5	607.8	3.4
	"Fort Smith, AR-OK"	"22900"	49821	4883412	1020.2	1011.3	1029.2	4.6
