State,Year,Deaths,Population
Alabama,1999.0,44806.0,4430141.0
Alabama,2000.0,45062.0,4447100.0
Alabama,2001.0,45316.0,4467634.0
Alabama,2002.0,46069.0,4480089.0
Alabama,2003.0,46716.0,4503491.0
Alabama,2004.0,46121.0,4530729.0
Alabama,2005.0,47090.0,4569805.0
Alabama,2006.0,46977.0,4628981.0
Alabama,2007.0,46696.0,4672840.0
Alabama,2008.0,47707.0,4718206.0
Alabama,2009.0,47470.0,4757938.0
Alabama,2010.0,48038.0,4779736.0
Alabama,2011.0,48681.0,4802740.0
Alabama,2012.0,49301.0,4822023.0
Alabama,2013.0,50189.0,4833722.0
Alabama,2014.0,50215.0,4849377.0
Alabama,2015.0,51909.0,4858979.0
Alabama,2016.0,52466.0,4863300.0
Alabama,2017.0,53238.0,4874747.0
Alabama,2018.0,54352.0,4887871.0
Alaska,1999.0,2708.0,624779.0
Alaska,2000.0,2914.0,626932.0
Alaska,2001.0,2974.0,633714.0
Alaska,2002.0,3030.0,642337.0
Alaska,2003.0,3180.0,648414.0
Alaska,2004.0,3051.0,659286.0
Alaska,2005.0,3168.0,666946.0
Alaska,2006.0,3354.0,675302.0
Alaska,2007.0,3463.0,680300.0
Alaska,2008.0,3494.0,687455.0
Alaska,2009.0,3618.0,698895.0
Alaska,2010.0,3728.0,710231.0
Alaska,2011.0,3849.0,722718.0
Alaska,2012.0,3912.0,731449.0
Alaska,2013.0,3997.0,735132.0
Alaska,2014.0,4128.0,736732.0
Alaska,2015.0,4316.0,738432.0
Alaska,2016.0,4494.0,741894.0
Alaska,2017.0,4411.0,739795.0
Alaska,2018.0,4453.0,737438.0
Arizona,1999.0,40050.0,5023823.0
Arizona,2000.0,40500.0,5130632.0
Arizona,2001.0,41058.0,5273477.0
Arizona,2002.0,42816.0,5396255.0
Arizona,2003.0,43392.0,5510364.0
Arizona,2004.0,43198.0,5652404.0
Arizona,2005.0,45827.0,5839077.0
Arizona,2006.0,46365.0,6029141.0
Arizona,2007.0,45554.0,6167681.0
Arizona,2008.0,45823.0,6280362.0
Arizona,2009.0,45816.0,6343154.0
Arizona,2010.0,46762.0,6392017.0
Arizona,2011.0,48381.0,6482505.0
Arizona,2012.0,49549.0,6553255.0
Arizona,2013.0,50534.0,6626624.0
Arizona,2014.0,51538.0,6731484.0
Arizona,2015.0,54299.0,6828065.0
Arizona,2016.0,56645.0,6931071.0
Arizona,2017.0,57758.0,7016270.0
Arizona,2018.0,59282.0,7171646.0
Arkansas,1999.0,27925.0,2651860.0
Arkansas,2000.0,28217.0,2673400.0
Arkansas,2001.0,27759.0,2691571.0
Arkansas,2002.0,28513.0,2705927.0
Arkansas,2003.0,27918.0,2724816.0
Arkansas,2004.0,27528.0,2749686.0
Arkansas,2005.0,28055.0,2781097.0
