,,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths
Age_Groups,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year,Not Stated
State,Year,,,,,,,,,,,,
Alabama,1999.0,121.0,752.0,893.0,1887.0,3157.0,184.0,5041.0,8844.0,12472.0,10849.0,606.0,
Alabama,2000.0,97.0,708.0,854.0,1836.0,3265.0,138.0,5110.0,8992.0,12521.0,10944.0,596.0,
Alabama,2001.0,98.0,706.0,851.0,1845.0,3495.0,161.0,5127.0,8863.0,12400.0,11202.0,567.0,
Alabama,2002.0,102.0,722.0,912.0,1806.0,3574.0,150.0,5297.0,8582.0,12854.0,11528.0,539.0,
Alabama,2003.0,96.0,698.0,878.0,1889.0,3738.0,133.0,5611.0,8542.0,12992.0,11619.0,519.0,
Alabama,2004.0,106.0,785.0,884.0,1870.0,3743.0,128.0,5769.0,8431.0,12796.0,11093.0,516.0,
Alabama,2005.0,87.0,727.0,947.0,1788.0,3924.0,127.0,6076.0,8474.0,12864.0,11505.0,568.0,
Alabama,2006.0,103.0,840.0,1057.0,1871.0,4020.0,125.0,6086.0,8410.0,12500.0,11393.0,571.0,
Alabama,2007.0,76.0,833.0,956.0,1776.0,3957.0,121.0,6228.0,8483.0,12177.0,11446.0,641.0,
Alabama,2008.0,93.0,707.0,982.0,1680.0,4158.0,125.0,6508.0,8595.0,12302.0,11944.0,612.0,
Alabama,2009.0,104.0,631.0,942.0,1746.0,4079.0,115.0,6654.0,8775.0,12107.0,11799.0,517.0,
Alabama,2010.0,80.0,631.0,1005.0,1625.0,4040.0,138.0,6753.0,8903.0,12295.0,12045.0,523.0,
Alabama,2011.0,99.0,647.0,1037.0,1579.0,4043.0,125.0,7111.0,8987.0,12272.0,12293.0,487.0,
Alabama,2012.0,93.0,591.0,1026.0,1691.0,3963.0,113.0,7199.0,9373.0,12197.0,12529.0,523.0,
Alabama,2013.0,83.0,616.0,1041.0,1621.0,4018.0,117.0,7406.0,9839.0,12361.0,12585.0,501.0,
Alabama,2014.0,73.0,595.0,1006.0,1733.0,3780.0,129.0,7572.0,10044.0,12290.0,12477.0,516.0,
Alabama,2015.0,78.0,642.0,1069.0,1680.0,3975.0,112.0,7763.0,10347.0,12705.0,13042.0,495.0,
Alabama,2016.0,74.0,741.0,1173.0,1830.0,3870.0,96.0,7779.0,11012.0,12538.0,12816.0,537.0,
Alabama,2017.0,93.0,653.0,1178.0,1766.0,3624.0,116.0,8095.0,11208.0,13038.0,13033.0,434.0,
Alabama,2018.0,89.0,671.0,1148.0,1820.0,3596.0,106.0,8096.0,11581.0,13569.0,13271.0,405.0,
Alaska,1999.0,17.0,96.0,138.0,228.0,310.0,18.0,393.0,541.0,566.0,344.0,57.0,
Alaska,2000.0,21.0,130.0,117.0,240.0,358.0,27.0,389.0,534.0,666.0,364.0,68.0,
Alaska,2001.0,22.0,101.0,117.0,255.0,400.0,28.0,417.0,543.0,632.0,378.0,81.0,
Alaska,2002.0,12.0,106.0,120.0,280.0,427.0,30.0,480.0,502.0,645.0,373.0,55.0,
Alaska,2003.0,18.0,122.0,106.0,218.0,395.0,38.0,490.0,541.0,723.0,457.0,71.0,
Alaska,2004.0,22.0,137.0,121.0,227.0,408.0,29.0,452.0,537.0,632.0,417.0,69.0,
Alaska,2005.0,,115.0,118.0,227.0,423.0,26.0,498.0,528.0,696.0,466.0,62.0,
Alaska,2006.0,,120.0,128.0,217.0,430.0,36.0,502.0,586.0,718.0,532.0,76.0,
Alaska,2007.0,14.0,129.0,120.0,221.0,466.0,28.0,570.0,588.0,721.0,534.0,72.0,
Alaska,2008.0,20.0,109.0,126.0,221.0,443.0,22.0,578.0,635.0,729.0,544.0,67.0,
Alaska,2009.0,11.0,119.0,138.0,199.0,487.0,17.0,574.0,655.0,740.0,601.0,77.0,
Alaska,2010.0,19.0,127.0,130.0,196.0,466.0,22.0,633.0,684.0,706.0,702.0,43.0,
Alaska,2011.0,14.0,124.0,146.0,201.0,462.0,23.0,721.0,716.0,733.0,666.0,43.0,
Alaska,2012.0,13.0,106.0,184.0,182.0,455.0,13.0,717.0,736.0,755.0,690.0,58.0,
Alaska,2013.0,18.0,105.0,168.0,192.0,421.0,22.0,795.0,723.0,753.0,735.0,64.0,
Alaska,2014.0,18.0,107.0,165.0,186.0,448.0,10.0,786.0,761.0,840.0,732.0,75.0,
Alaska,2015.0,23.0,122.0,182.0,194.0,433.0,22.0,806.0,836.0,857.0,763.0,78.0,
Alaska,2016.0,20.0,138.0,235.0,222.0,399.0,20.0,815.0,943.0,855.0,786.0,60.0,
Alaska,2017.0,23.0,125.0,229.0,209.0,405.0,32.0,774.0,919.0,837.0,798.0,59.0,
Alaska,2018.0,11.0,97.0,193.0,206.0,401.0,26.0,766.0,949.0,923.0,821.0,60.0,
Arizona,1999.0,108.0,640.0,857.0,1682.0,2660.0,135.0,4121.0,7831.0,11924.0,9503.0,548.0,41.0
Arizona,2000.0,113.0,675.0,896.0,1692.0,2783.0,161.0,4071.0,7799.0,11946.0,9766.0,573.0,25.0
Arizona,2001.0,147.0,734.0,913.0,1768.0,2864.0,175.0,4178.0,7509.0,11972.0,10152.0,592.0,54.0
Arizona,2002.0,130.0,785.0,905.0,1799.0,3160.0,150.0,4434.0,7595.0,12466.0,10790.0,559.0,43.0
Arizona,2003.0,134.0,773.0,903.0,1813.0,3232.0,158.0,4583.0,7483.0,12615.0,11049.0,593.0,56.0
