,,Deaths,Deaths,Population,Population,,
Gender,,Female,Male,Female,Male,,
State,Year,Fem_Dth,Male_Dth,Fem_Pop,Male_Pop,Fem_Dth_Rate,Male_Dth_Rate
Alabama,1999,22603,22203,2293259,2136882,0.009856279,0.010390373
Alabama,2000,22709,22353,2300596,2146504,0.00987092,0.010413677
Alabama,2001,23129,22187,2309496,2158138,0.010014739,0.010280622
Alabama,2002,23423,22646,2314370,2165719,0.010120681,0.010456574
Alabama,2003,23812,22904,2324069,2179422,0.010245823,0.010509208
Alabama,2004,23382,22739,2337857,2192872,0.010001467,0.010369506
Alabama,2005,23932,23158,2356423,2213382,0.010156071,0.010462722
Alabama,2006,23614,23363,2385480,2243501,0.009899056,0.010413635
Alabama,2007,23230,23466,2407275,2265565,0.009649915,0.010357681
Alabama,2008,24031,23676,2430257,2287949,0.009888255,0.010348133
Alabama,2009,23587,23883,2448159,2309779,0.009634587,0.01033995
Alabama,2010,23986,24052,2459548,2320188,0.009752198,0.010366401
Alabama,2011,24070,24611,2473249,2329491,0.009732138,0.010564969
Alabama,2012,24535,24766,2483466,2338557,0.009879338,0.010590291
Alabama,2013,24420,25769,2488375,2345347,0.009813633,0.010987287
Alabama,2014,24773,25442,2499410,2349967,0.009911539,0.010826535
Alabama,2015,25306,26603,2505795,2353184,0.010098991,0.011305108
Alabama,2016,25618,26848,2507714,2355586,0.010215679,0.011397589
Alabama,2017,25855,27383,2514911,2359836,0.010280682,0.011603772
Alabama,2018,26278,28074,2523756,2364115,0.010412259,0.011875057
Alaska,1999,1166,1542,301266,323513,0.003870334,0.004766424
Alaska,2000,1234,1680,302820,324112,0.004075028,0.005183393
Alaska,2001,1259,1715,305579,328135,0.004120048,0.005226507
Alaska,2002,1272,1758,309633,332704,0.004108089,0.005283976
Alaska,2003,1377,1803,313034,335380,0.004398883,0.005375991
Alaska,2004,1291,1760,317807,341479,0.004062214,0.00515405
Alaska,2005,1363,1805,320920,346026,0.004247164,0.005216371
Alaska,2006,1485,1869,325121,350181,0.00456753,0.00533724
Alaska,2007,1501,1962,327138,353162,0.004588278,0.005555524
Alaska,2008,1516,1978,329412,358043,0.00460214,0.005524476
Alaska,2009,1603,2015,337002,361893,0.004756648,0.005567944
Alaska,2010,1597,2131,340603,369628,0.004688743,0.005765256
Alaska,2011,1623,2226,347526,375192,0.004670154,0.005932962
Alaska,2012,1692,2220,350211,381238,0.004831373,0.005823134
Alaska,2013,1750,2247,349564,385568,0.005006236,0.005827766
Alaska,2014,1722,2406,349436,387296,0.004927941,0.006212303
Alaska,2015,1866,2450,349407,389025,0.005340477,0.006297796
Alaska,2016,1907,2587,353762,388132,0.00539063,0.006665258
Alaska,2017,1889,2522,353003,386792,0.005351229,0.0065203
Alaska,2018,1908,2545,352865,384573,0.005407167,0.006617729
Arizona,1999,18797,21253,2518299,2505524,0.007464165,0.008482457
Arizona,2000,19253,21247,2569575,2561057,0.007492679,0.008296184
Arizona,2001,19458,21600,2641676,2631801,0.007365778,0.008207307
Arizona,2002,20202,22614,2704217,2692038,0.007470554,0.008400327
Arizona,2003,20611,22781,2764077,2746287,0.007456739,0.0082952
Arizona,2004,20524,22674,2835606,2816798,0.007237959,0.008049565
Arizona,2005,21818,24009,2930811,2908266,0.007444356,0.008255435
Arizona,2006,22109,24256,3026134,3003007,0.007306021,0.008077237
Arizona,2007,21668,23886,3096998,3070683,0.006996453,0.007778725
Arizona,2008,21658,24165,3155278,3125084,0.006864054,0.007732592
Arizona,2009,21798,24018,3189908,3153246,0.006833426,0.007616913
Arizona,2010,22065,24697,3216194,3175823,0.006860594,0.007776567
Arizona,2011,23081,25300,3258634,3223871,0.007083029,0.007847709
Arizona,2012,23314,26235,3294772,3258483,0.007076059,0.008051293
Arizona,2013,23937,26597,3331505,3295119,0.007185041,0.008071636
Arizona,2014,24239,27299,3387637,3343847,0.007155135,0.00816395
Arizona,2015,25401,28898,3436575,3391490,0.007391371,0.008520739
Arizona,2016,26106,30539,3488176,3442895,0.007484141,0.008870151
Arizona,2017,26750,31008,3527969,3488301,0.007582266,0.008889141
Arizona,2018,27171,32111,3606307,3565339,0.0075343,0.009006437
Arkansas,1999,13911,14014,1359445,1292415,0.010232852,0.010843266
Arkansas,2000,14139,14078,1368707,1304693,0.010330188,0.010790278
Arkansas,2001,13870,13889,1376845,1314726,0.010073756,0.010564178
Arkansas,2002,14344,14169,1383239,1322688,0.010369864,0.010712277
Arkansas,2003,13911,14007,1391523,1333293,0.00999696,0.010505568
Arkansas,2004,13846,13682,1403048,1346638,0.009868515,0.010160117
Arkansas,2005,13926,14129,1418295,1362802,0.009818832,0.01036761
Arkansas,2006,13777,14124,1438428,1383333,0.009577817,0.010210123
Arkansas,2007,14074,14117,1451358,1397292,0.009697125,0.010103114
Arkansas,2008,14576,14746,1464220,1410334,0.009954788,0.010455679
Arkansas,2009,14046,14627,1475013,1421830,0.009522628,0.010287446
Arkansas,2010,14126,14790,1484281,1431637,0.009517066,0.010330831
Arkansas,2011,14577,15076,1495200,1442779,0.009749197,0.010449279
Arkansas,2012,14832,15285,1500641,1448490,0.009883776,0.010552368
Arkansas,2013,14884,15553,1505782,1453591,0.009884565,0.010699709
Arkansas,2014,14803,15664,1509053,1457316,0.009809463,0.010748527
Arkansas,2015,15304,16313,1515348,1462856,0.01009933,0.011151474
Arkansas,2016,15325,16431,1520375,1467873,0.01007975,0.011193748
Arkansas,2017,15869,16719,1528215,1476064,0.01038401,0.011326745
Arkansas,2018,15547,16789,1533682,1480143,0.010137043,0.011342823
California,1999,114895,114485,16800161,16699043,0.006838923,0.006855782
California,2000,114792,114759,16996756,16874892,0.006753759,0.006800577
California,2001,117315,116729,17294223,17185235,0.006783479,0.006792401
California,2002,117020,117545,17498462,17373381,0.006687445,0.00676581
California,2003,119179,120192,17709509,17543650,0.006729661,0.006851026
California,2004,115547,116978,17871415,17703161,0.006465465,0.006607746
California,2005,117342,119695,17996230,17831713,0.006520366,0.006712479
California,2006,117114,120012,18097471,17923731,0.006471291,0.006695704
California,2007,115160,118560,18214926,18035385,0.006322288,0.006573744
California,2008,116277,118489,18396972,18207365,0.006320442,0.006507751
California,2009,114332,118404,18583075,18378154,0.00615248,0.006442649
California,2010,115638,118374,18736126,18517830,0.006171927,0.006392434
California,2011,118378,121564,18943585,18748327,0.006248976,0.006483992
California,2012,119151,123403,19122866,18918564,0.006230813,0.006522852
California,2013,121219,127140,19268325,19064196,0.006291102,0.006669046
California,2014,119502,126427,19533596,19268904,0.006117768,0.006561193
California,2015,126124,133082,19701750,19443068,0.006401665,0.006844702
California,2016,126980,135260,19756656,19493361,0.006427201,0.006938773
California,2017,129687,138502,19889100,19647553,0.006520506,0.007049326
California,2018,128703,140115,19893468,19663577,0.006469611,0.007125611
Colorado,1999,13622,13492,2101358,2124660,0.006482475,0.006350193
Colorado,2000,13750,13538,2135278,2165983,0.006439443,0.00625028
Colorado,2001,14411,13883,2195705,2229982,0.006563268,0.006225611
Colorado,2002,14581,14629,2228665,2261741,0.006542482,0.006468026
Colorado,2003,14903,14603,2253214,2275518,0.006614108,0.00641744
Colorado,2004,14002,14307,2274511,2300502,0.006156048,0.006219077
Colorado,2005,14729,14898,2308238,2323650,0.006381058,0.006411465
Colorado,2006,14841,14680,2352960,2367463,0.006307375,0.00620073
Colorado,2007,14846,15147,2396433,2407435,0.006195041,0.006291759
Colorado,2008,15466,15808,2439060,2450670,0.006340967,0.006450481
Colorado,2009,15413,15760,2480710,2491485,0.006213141,0.006325545
Colorado,2010,15612,15853,2508534,2520662,0.006223555,0.006289221
Colorado,2011,16037,16526,2549601,2567195,0.006290004,0.006437376
Colorado,2012,16297,16836,2583877,2603705,0.006307189,0.00646617
Colorado,2013,16571,17141,2621921,2646446,0.006320175,0.006476988
Colorado,2014,17172,18065,2664707,2691159,0.006444236,0.006712721
Colorado,2015,17659,18690,2712811,2743763,0.006509484,0.006811813
Colorado,2016,17889,19641,2754727,2785818,0.006493928,0.007050353
Colorado,2017,18398,19665,2784821,2822333,0.006606529,0.00696764
Colorado,2018,18298,20228,2827696,2867868,0.006470993,0.007053323
Connecticut,1999,15481,13965,1747148,1639253,0.008860726,0.008519124
Connecticut,2000,15882,14247,1756246,1649319,0.009043152,0.008638111
Connecticut,2001,15992,13835,1768959,1663876,0.009040345,0.008314923
Connecticut,2002,15796,14326,1780500,1678249,0.008871665,0.008536278
Connecticut,2003,15624,14003,1793468,1690868,0.008711613,0.008281545
Connecticut,2004,15384,13930,1798078,1698016,0.008555802,0.008203692
Connecticut,2005,15617,13850,1802068,1704888,0.008666155,0.008123701
Connecticut,2006,15436,13824,1807675,1709785,0.008539146,0.008085227
Connecticut,2007,15090,13561,1811617,1715653,0.008329575,0.007904279
Connecticut,2008,15180,13614,1820749,1724830,0.008337228,0.007892952
Connecticut,2009,15158,13427,1828779,1733028,0.00828859,0.007747711
Connecticut,2010,14999,13693,1834483,1739614,0.008176146,0.007871286
Connecticut,2011,15442,14084,1835893,1744816,0.008411166,0.008071911
Connecticut,2012,15279,14037,1840431,1749916,0.00830186,0.008021528
Connecticut,2013,15406,14226,1841929,1754151,0.008364057,0.008109906
Connecticut,2014,15476,14384,1842128,1754549,0.008401153,0.008198118
Connecticut,2015,15870,14665,1839139,1751747,0.008629038,0.008371643
Connecticut,2016,15558,14985,1830837,1745615,0.008497753,0.008584367
Connecticut,2017,16127,15185,1836384,1751800,0.008781932,0.008668227
Connecticut,2018,15879,15351,1829270,1743395,0.008680512,0.008805233
Delaware,1999,3324,3342,398732,376258,0.008336426,0.008882203
Delaware,2000,3504,3371,403059,380541,0.008693516,0.008858441
Delaware,2001,3660,3452,409349,386350,0.008941026,0.008934904
Delaware,2002,3487,3374,414652,391517,0.008409461,0.008617761
Delaware,2003,3561,3509,420802,397201,0.008462412,0.008834318
Delaware,2004,3525,3618,427320,403483,0.008249087,0.008966921
Delaware,2005,3763,3709,435227,409923,0.008646063,0.009048041
Delaware,2006,3614,3590,442766,416502,0.008162325,0.008619406
Delaware,2007,3649,3678,449398,422351,0.008119751,0.008708397
Delaware,2008,3857,3765,455481,428393,0.008467971,0.008788659
Delaware,2009,3798,3736,459795,431935,0.008260203,0.00864945
Delaware,2010,3818,3888,462995,434939,0.008246309,0.008939185
Delaware,2011,3958,3887,467299,439836,0.008469952,0.008837385
Delaware,2012,4017,3858,472734,444358,0.008497379,0.008682189
Delaware,2013,3934,4033,477802,447947,0.008233536,0.009003297
Delaware,2014,4068,4192,482925,452689,0.008423668,0.009260221
Delaware,2015,4208,4374,488125,457809,0.008620743,0.009554203
Delaware,2016,4277,4597,491395,460670,0.008703792,0.009978944
Delaware,2017,4427,4751,496425,465514,0.008917762,0.010205923
Delaware,2018,4511,4922,499244,467927,0.009035662,0.010518735
District of Columbia,1999,2967,3109,301797,268416,0.009831112,0.011582767
District of Columbia,2000,2972,3029,302693,269366,0.009818529,0.011244923
District of Columbia,2001,2884,3067,303740,270764,0.009494963,0.011327207
District of Columbia,2002,2810,3041,303146,270012,0.009269461,0.011262462
District of Columbia,2003,2696,2877,300607,267895,0.00896852,0.010739282
District of Columbia,2004,2669,2785,300284,267470,0.008888252,0.010412383
District of Columbia,2005,2681,2802,299613,267523,0.00894821,0.010473866
District of Columbia,2006,2622,2722,301322,269359,0.008701655,0.010105473
District of Columbia,2007,2596,2592,302949,271455,0.008569099,0.009548544
District of Columbia,2008,2514,2626,306265,273971,0.008208578,0.009584956
District of Columbia,2009,2335,2499,311828,280400,0.007488102,0.008912268
District of Columbia,2010,2398,2274,317501,284222,0.007552732,0.008000788
District of Columbia,2011,2357,2232,325775,292221,0.007235055,0.007638055
District of Columbia,2012,2387,2263,333282,299041,0.007162103,0.007567524
District of Columbia,2013,2377,2342,340199,306250,0.006987087,0.007647347
District of Columbia,2014,2394,2329,346293,312600,0.006913221,0.007450416
District of Columbia,2015,2375,2496,353627,318601,0.006716116,0.00783425
District of Columbia,2016,2433,2604,357940,323230,0.006797229,0.008056183
District of Columbia,2017,2467,2498,364773,329199,0.00676311,0.007588115
District of Columbia,2018,2457,2551,369148,333307,0.006655867,0.007653605
Florida,1999,80173,83051,8073847,7685574,0.009929963,0.010806089
Florida,2000,80309,84086,8184663,7797715,0.009812133,0.010783415
Florida,2001,82095,85174,8372776,7984190,0.009804992,0.010667832
Florida,2002,82304,85510,8541734,8147636,0.009635514,0.010495069
Florida,2003,82236,86421,8697573,8306512,0.009455051,0.010404006
Florida,2004,82464,86544,8902447,8512871,0.009263071,0.010166253
Florida,2005,82641,88150,9117950,8724088,0.00906355,0.010104208
Florida,2006,82089,87977,9280080,8886910,0.008845721,0.009899616
Florida,2007,80823,87273,9378587,8989255,0.008617823,0.009708591
Florida,2008,82041,88662,9465279,9062026,0.008667573,0.009783905
Florida,2009,81537,88387,9534289,9118355,0.008551975,0.009693305
Florida,2010,83574,90217,9611955,9189355,0.008694797,0.009817555
Florida,2011,83686,90290,9736166,9321376,0.008595375,0.009686338
Florida,2012,85580,91711,9869741,9447827,0.008670947,0.0097071
Florida,2013,87437,93675,9990213,9562647,0.008752266,0.009795928
Florida,2014,89094,96862,10170011,9723286,0.008760463,0.009961859
Florida,2015,90998,100739,10368733,9902539,0.008776193,0.010173048
