,,Deaths,Deaths,Deaths,Deaths,Population,Population,Population,Population
Race,,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White
State,Year,,,,,,,,
Alabama,1999.0,54.0,49.0,11080.0,33623.0,22666.0,33494.0,1162673.0,3211308.0
Alabama,2000.0,44.0,55.0,10914.0,34049.0,25386.0,35873.0,1167623.0,3218218.0
Alabama,2001.0,51.0,46.0,11100.0,34119.0,26010.0,38517.0,1177479.0,3225628.0
Alabama,2002.0,46.0,71.0,11225.0,34727.0,27003.0,40783.0,1182591.0,3229712.0
Alabama,2003.0,64.0,76.0,11219.0,35357.0,28065.0,43407.0,1190183.0,3241836.0
Alabama,2004.0,52.0,83.0,11095.0,34891.0,28974.0,46752.0,1199192.0,3255811.0
Alabama,2005.0,65.0,76.0,11248.0,35701.0,29957.0,49897.0,1210903.0,3279048.0
Alabama,2006.0,74.0,117.0,11275.0,35511.0,31165.0,53122.0,1230534.0,3314160.0
Alabama,2007.0,52.0,102.0,11040.0,35502.0,32273.0,56067.0,1243867.0,3340633.0
Alabama,2008.0,82.0,116.0,11132.0,36377.0,33518.0,58975.0,1259177.0,3366536.0
Alabama,2009.0,68.0,117.0,10992.0,36293.0,34844.0,62645.0,1271247.0,3389202.0
Alabama,2010.0,77.0,128.0,10981.0,36852.0,35963.0,64726.0,1279072.0,3399975.0
Alabama,2011.0,75.0,116.0,11153.0,37337.0,36348.0,66881.0,1293037.0,3406474.0
Alabama,2012.0,90.0,109.0,11077.0,38025.0,36677.0,69565.0,1302210.0,3413571.0
Alabama,2013.0,88.0,96.0,11443.0,38562.0,36694.0,72011.0,1307660.0,3417357.0
Alabama,2014.0,99.0,90.0,11320.0,38706.0,36925.0,74946.0,1317566.0,3419940.0
Alabama,2015.0,106.0,85.0,11789.0,39929.0,37228.0,77752.0,1325905.0,3418094.0
Alabama,2016.0,97.0,223.0,12013.0,40133.0,37190.0,79553.0,1329648.0,3416909.0
Alabama,2017.0,83.0,237.0,12106.0,40812.0,37424.0,82378.0,1335240.0,3419705.0
Alabama,2018.0,116.0,240.0,12525.0,41471.0,37790.0,84490.0,1338846.0,3426745.0
Alaska,1999.0,644.0,81.0,71.0,1912.0,105727.0,30390.0,26610.0,462052.0
Alaska,2000.0,648.0,101.0,86.0,2079.0,107715.0,31786.0,26649.0,460782.0
Alaska,2001.0,691.0,75.0,82.0,2126.0,108715.0,33834.0,27347.0,463818.0
Alaska,2002.0,697.0,90.0,88.0,2155.0,109756.0,35716.0,28157.0,468708.0
Alaska,2003.0,725.0,124.0,82.0,2249.0,110936.0,37741.0,28196.0,471541.0
Alaska,2004.0,700.0,94.0,97.0,2160.0,112721.0,39436.0,28663.0,478466.0
Alaska,2005.0,778.0,107.0,83.0,2200.0,114256.0,41227.0,28771.0,482692.0
Alaska,2006.0,759.0,124.0,78.0,2393.0,115621.0,42649.0,29078.0,487954.0
Alaska,2007.0,808.0,114.0,96.0,2445.0,116298.0,43997.0,29592.0,490413.0
Alaska,2008.0,806.0,112.0,101.0,2475.0,117376.0,46039.0,30075.0,493965.0
Alaska,2009.0,860.0,135.0,90.0,2533.0,119327.0,49128.0,30573.0,499867.0
Alaska,2010.0,865.0,133.0,100.0,2630.0,120452.0,50944.0,31404.0,507431.0
